Time,EncoderAngle
56160964.1344,-64.0
56160984.3637,-64.0
56161004.3836,-64.0
56161024.2246,-64.0
56161044.8128,-65.0
56161065.5778,-65.0
56161084.3336,-65.0
56161104.6146,-65.0
56161124.3754,-65.0
56161144.2438,-65.0
56161164.392,-65.0
56161184.3763,-65.0
56161204.5749,-65.0
56161225.0316,-65.0
56161244.7894,-65.0
56161276.5859,-65.0
56161297.6108,-65.0
56161314.5271,-65.0
56161334.1611,-65.0
56161354.2688,-65.0
56161374.9564,-66.0
56161394.6875,-66.0
56161414.3693,-66.0
56161434.4063,-66.0
56161454.1491,-66.0
56161474.9199,-66.0
56161494.4929,-66.0
56161514.3801,-66.0
56161535.0615,-66.0
56161554.3285,-66.0
56161580.7734,-67.0
56161604.5608,-67.0
56161625.1064,-67.0
56161644.31,-67.0
56161664.0948,-67.0
56161684.3121,-67.0
56161707.1803,-67.0
56161724.6393,-67.0
56161744.3225,-67.0
56161764.8431,-68.0
56161784.684,-68.0
56161804.9331,-68.0
56161824.6022,-68.0
56161844.5075,-68.0
56161864.6284,-68.0
56161885.3209,-69.0
56161904.3222,-69.0
56161925.1303,-69.0
56161944.3245,-69.0
56161965.131,-70.0
56161985.1654,-70.0
56162004.4477,-70.0
56162025.0146,-71.0
56162044.7206,-71.0
56162065.1017,-71.0
56162084.781,-71.0
56162105.0121,-72.0
56162124.52,-72.0
56162145.2128,-72.0
56162165.0937,-73.0
56162185.2208,-73.0
56162205.1283,-74.0
56162225.0005,-74.0
56162244.0437,-74.0
56162265.4894,-73.0
56162284.7641,-73.0
56162304.2499,-73.0
56162325.1355,-72.0
56162344.8937,-72.0
56162364.869,-71.0
56162384.9709,-71.0
56162405.0932,-72.0
56162425.3516,-72.0
56162444.7983,-72.0
56162464.7543,-72.0
56162485.3835,-71.0
56162504.2543,-71.0
56162526.3258,-71.0
56162545.2345,-70.0
56162565.1556,-70.0
56162585.3541,-69.0
56162604.7398,-69.0
56162624.3667,-69.0
56162645.3778,-70.0
56162665.395,-70.0
56162684.6752,-70.0
56162705.1118,-71.0
56162724.9942,-71.0
56162744.6946,-71.0
56162765.2263,-70.0
56162784.735,-70.0
56162804.751,-70.0
56162824.6234,-70.0
56162845.3059,-69.0
56162865.2464,-69.0
56162884.7036,-70.0
56162905.1191,-70.0
56162924.922,-71.0
56162944.9313,-71.0
56162964.7569,-70.0
56162984.9638,-70.0
56163004.4987,-70.0
56163025.0358,-71.0
56163045.307,-71.0
56163065.1826,-72.0
56163085.171,-72.0
56163104.9211,-71.0
56163124.8065,-71.0
56163145.1719,-70.0
56163165.2311,-70.0
56163185.4003,-69.0
56163205.5181,-69.0
56163224.8162,-68.0
56163245.2255,-68.0
56163264.8288,-68.0
56163284.8927,-69.0
56163305.2095,-69.0
56163324.8116,-70.0
56163354.7051,-70.0
56163375.0416,-70.0
56163394.8314,-69.0
56163414.2417,-69.0
56163434.8744,-69.0
56163455.1023,-70.0
56163474.8805,-70.0
56163494.9098,-69.0
56163514.786,-69.0
56163534.2973,-69.0
56163555.1415,-70.0
56163574.7081,-70.0
56163595.8028,-70.0
56163617.612,-71.0
56163634.7873,-71.0
56163654.3891,-71.0
56163676.1216,-70.0
56163695.1142,-70.0
56163714.2132,-70.0
56163734.41,-70.0
56163765.2515,-69.0
56163784.4015,-69.0
56163804.1233,-69.0
56163825.3731,-69.0
56163844.8327,-68.0
56163864.8013,-68.0
56163884.6884,-67.0
56163904.6806,-67.0
56163925.4025,-66.0
56163945.0518,-66.0
56163964.994,-65.0
56163985.0572,-65.0
56164004.7994,-64.0
56164025.3824,-64.0
56164044.9857,-65.0
56164064.239,-65.0
56164084.2045,-65.0
56164104.7744,-65.0
56164125.5482,-66.0
