Time,EncoderAngle
55151936.8138,62.0
55151957.5719,61.0
55151976.2099,61.0
55151996.4751,61.0
55152016.5305,62.0
55152036.4004,62.0
55152057.8203,61.0
55152077.3559,61.0
55152096.6012,61.0
55152136.2366,61.0
55152157.4044,61.0
55152177.193,62.0
55152196.4331,62.0
55152216.4574,63.0
55152236.6678,63.0
55152257.4653,64.0
55152276.9916,64.0
55152295.9471,64.0
55152316.4919,65.0
55152336.5337,65.0
55152357.4613,66.0
55152376.6943,66.0
55152396.8343,67.0
55152415.9419,67.0
55152436.4682,67.0
55152457.5425,66.0
55152476.1079,66.0
55152496.3892,66.0
55152518.4899,65.0
55152536.5565,65.0
55152558.397,64.0
55152577.1199,64.0
55152596.3643,65.0
55152615.8084,65.0
55152636.5356,65.0
55152657.0733,64.0
55152676.5133,64.0
55152696.3938,63.0
55152715.8885,63.0
55152736.3799,63.0
55152757.1202,64.0
55152786.3409,64.0
55152807.4114,64.0
55152826.835,63.0
55152846.4568,63.0
55152866.8419,63.0
55152886.3432,62.0
55152907.6046,62.0
55152926.5659,61.0
55152946.3618,61.0
55152967.8572,60.0
55152986.6306,60.0
55153006.8964,59.0
55153026.4978,59.0
55153046.1413,59.0
55153066.2095,60.0
55153086.5928,60.0
55153106.6313,60.0
55153126.3396,61.0
55153146.1782,61.0
55153166.4769,62.0
55153186.3825,62.0
55153206.8255,61.0
55153226.3259,61.0
55153246.4897,60.0
55153266.387,60.0
55153287.9186,59.0
55153306.9278,59.0
55153326.5033,58.0
55153346.3274,58.0
55153366.6729,59.0
55153390.2935,59.0
55153416.7657,58.0
55153437.4041,58.0
55153457.4904,57.0
55153476.3547,57.0
55153496.7294,56.0
55153516.3344,56.0
55153537.2182,57.0
55153557.2133,57.0
55153576.7506,57.0
55153596.5352,56.0
55153616.4112,56.0
55153637.0607,57.0
55153656.5391,57.0
55153676.4245,58.0
55153696.6313,58.0
55153716.5253,59.0
55153735.8222,59.0
55153756.5847,59.0
55153776.5286,60.0
55153796.6356,60.0
55153815.9482,60.0
55153837.2759,59.0
55153856.5398,59.0
55153876.5723,60.0
55153897.1094,60.0
55153916.4544,61.0
55153935.8227,61.0
55153956.5861,61.0
55153976.4823,62.0
55153996.0742,62.0
55154018.8331,62.0
55154046.2143,62.0
55154066.6344,63.0
55154087.1203,63.0
55154106.3852,64.0
55154126.0158,64.0
55154145.8605,64.0
55154166.5147,64.0
55154187.6386,65.0
55154206.4799,65.0
55154226.2872,65.0
55154246.3003,64.0
55154266.4864,64.0
55154286.8952,63.0
55154306.7181,63.0
55154326.0014,63.0
55154346.4828,64.0
55154366.0646,64.0
55154387.3001,64.0
55154407.0263,63.0
55154426.5159,63.0
55154446.5208,64.0
55154466.5947,64.0
55154487.6256,65.0
55154506.5321,65.0
55154526.3918,65.0
55154546.3169,66.0
55154566.608,66.0
55154587.5889,66.0
55154606.6863,65.0
55154626.5553,65.0
55154646.5254,64.0
55154666.4322,64.0
55154696.4425,64.0
55154716.6074,65.0
55154737.4633,65.0
55154756.803,65.0
55154776.6261,66.0
55154796.3628,66.0
55154816.0986,66.0
55154837.5001,65.0
55154856.429,65.0
55154876.1472,65.0
55154896.5562,66.0
55154916.2647,66.0
55154956.7231,66.0
55154976.1287,66.0
55154996.4527,67.0
55155017.2372,67.0
55155037.0445,68.0
55155056.6647,68.0
55155076.5663,68.0
55155095.9184,68.0
55155118.2673,68.0
55155137.3891,69.0
55155156.7205,69.0
55155176.2507,69.0
55155196.5926,70.0
55155216.676,70.0
55155237.1056,71.0
55155260.6399,71.0
55155276.4024,71.0
55155296.5884,71.0
55155316.525,72.0
55155336.9881,72.0
55155356.583,72.0
55155376.5938,73.0
55155396.6208,73.0
55155416.838,73.0
55155436.8291,73.0
55155456.3861,73.0
55155496.1611,73.0
55155516.3245,73.0
55155537.9474,72.0
55155558.4252,72.0
55155576.0954,72.0
55155596.5522,72.0
55155616.2391,72.0
55155636.9852,72.0
55155656.5881,72.0
55155676.4532,71.0
55155696.603,71.0
55155715.9893,71.0
55155736.8432,71.0
55155756.9334,71.0
55155776.6095,71.0
55155796.2813,71.0
55155816.5969,71.0
55155837.0355,72.0
55155856.6611,72.0
55155876.2046,72.0
55155897.0129,73.0
55155916.4766,73.0
55155937.9866,73.0
55155957.1678,72.0
55155976.8291,72.0
55155996.4281,72.0
55156016.6114,73.0
55156036.5463,73.0
55156057.048,73.0
55156076.0623,73.0
55156096.9082,72.0
55156116.5885,72.0
55156137.0579,73.0
55156156.5274,73.0
55156176.5553,73.0
55156196.7574,74.0
55156216.2932,74.0
55156236.5222,74.0
55156256.816,74.0
55156276.5693,75.0
55156296.7662,75.0
55156316.5233,76.0
55156337.5669,76.0
55156356.9193,77.0
55156376.8066,77.0
55156396.5165,78.0
55156416.1973,78.0
55156436.6743,78.0
55156456.7514,77.0
55156476.8151,77.0
55156496.3354,77.0
55156516.614,78.0
55156536.6588,78.0
55156556.7565,77.0
55156577.7786,77.0
55156606.9823,77.0
55156626.5252,77.0
55156646.9554,78.0
55156667.2706,78.0
55156686.783,79.0
55156706.5036,79.0
55156726.2722,79.0
55156746.9603,80.0
55156767.811,80.0
55156786.7768,79.0
55156806.6703,79.0
55156826.8877,78.0
55156846.5837,78.0
55156867.4488,78.0
55156887.4993,77.0
55156905.9647,77.0
55156926.8961,77.0
55156946.8211,76.0
55156966.5892,76.0
55157094.9186,76.0
55157250.4012,76.0
55157405.638,75.0
55157570.1592,75.0
55157713.8489,75.0
55157727.1058,76.0
55157855.5408,76.0
55158022.2942,76.0
